x,y,z,blade_engaged
-0.001260,0.005246,0.061830,1
-0.001313,0.005238,0.061816,1
-0.001367,0.005230,0.061801,1
-0.001422,0.005222,0.061786,1
-0.001477,0.005213,0.061771,1
-0.001532,0.005205,0.061755,1
-0.001588,0.005197,0.061740,1
-0.001644,0.005188,0.061725,1
-0.001673,0.005200,0.061707,1
-0.001710,0.005219,0.061681,1
-0.001746,0.005237,0.061656,1
-0.001802,0.005078,0.061726,1
-0.001845,0.005048,0.061726,1
-0.001888,0.005017,0.061727,1
-0.002207,0.005071,0.061569,1
-0.002207,0.005072,0.061568,1
-0.002207,0.005073,0.061568,1
-0.002207,0.005073,0.061568,1
-0.002207,0.005073,0.061568,1
-0.002207,0.005071,0.061569,1
-0.002466,0.004921,0.061571,1
-0.002506,0.004937,0.061549,1
-0.002547,0.004954,0.061525,1
-0.002587,0.004969,0.061503,1
-0.002625,0.004985,0.061482,1
-0.002635,0.004981,0.061480,1
-0.002637,0.004965,0.061488,1
-0.002639,0.004949,0.061495,1
-0.002641,0.004934,0.061502,1
-0.003047,0.004945,0.061342,1
-0.003064,0.004914,0.061353,1
-0.003080,0.004882,0.061364,1
-0.003097,0.004850,0.061375,1
-0.003114,0.004819,0.061386,1
-0.003130,0.004787,0.061397,1
-0.003147,0.004755,0.061408,1
-0.003225,0.004848,0.061329,1
-0.003234,0.004864,0.061317,1
-0.003324,0.004605,0.061413,1
-0.003725,0.004681,0.061227,1
-0.003728,0.004689,0.061222,1
-0.003647,0.004760,0.061220,1
-0.003757,0.004761,0.061178,1
-0.003802,0.004719,0.061180,1
-0.003847,0.004677,0.061182,1
-0.003892,0.004634,0.061184,1
-0.003938,0.004591,0.061185,1
-0.003984,0.004548,0.061187,1
-0.004180,0.004591,0.061094,1
-0.004183,0.004571,0.061101,1
-0.004186,0.004551,0.061109,1
-0.004368,0.004500,0.061064,1
-0.004389,0.004524,0.061045,1
-0.004410,0.004549,0.061026,1
-0.004594,0.004408,0.061029,1
-0.004639,0.004417,0.061009,1
-0.004639,0.004417,0.061009,1
-0.004901,0.004351,0.060934,1
-0.004911,0.004369,0.060923,1
-0.004920,0.004387,0.060912,1
-0.004929,0.004404,0.060902,1
-0.005086,0.004455,0.060822,1
-0.005257,0.004267,0.060836,1
-0.005256,0.004264,0.060838,1
-0.005256,0.004260,0.060840,1
-0.005435,0.004172,0.060812,1
-0.005495,0.004189,0.060782,1
-0.005556,0.004207,0.060752,1
-0.005693,0.004130,0.060729,1
-0.005692,0.004129,0.060729,1
-0.005893,0.004168,0.060646,1
-0.005971,0.004122,0.060636,1
-0.006051,0.004076,0.060627,1
-0.006132,0.004029,0.060617,1
-0.006214,0.003981,0.060607,1
-0.006297,0.003932,0.060597,1
-0.006381,0.003883,0.060587,1
-0.006449,0.003841,0.060580,1
-0.006518,0.003792,0.060574,1
-0.006588,0.003743,0.060568,1
-0.006658,0.003694,0.060561,1
-0.006728,0.003645,0.060555,1
-0.006798,0.003595,0.060549,1
-0.006868,0.003546,0.060543,1
-0.006938,0.003497,0.060537,1
-0.007008,0.003447,0.060531,1
-0.007080,0.003410,0.060521,1
-0.007160,0.003360,0.060512,1
-0.007236,0.003324,0.060500,1
-0.007312,0.003287,0.060489,1
-0.007388,0.003251,0.060478,1
-0.007464,0.003214,0.060467,1
-0.007540,0.003178,0.060455,1
-0.007512,0.003053,0.060495,1
-0.007692,0.002985,0.060463,1
-0.007737,0.002909,0.060470,1
-0.007781,0.002834,0.060477,1
-0.007826,0.002757,0.060484,1
-0.007871,0.002681,0.060492,1
-0.007917,0.002612,0.060496,1
-0.007970,0.002535,0.060499,1
-0.008024,0.002458,0.060503,1
-0.008078,0.002380,0.060506,1
-0.008352,0.002360,0.060441,1
-0.008342,0.002311,0.060454,1
-0.008333,0.002262,0.060468,1
-0.008475,0.002181,0.060453,1
-0.008491,0.002191,0.060447,1
-0.008598,0.001967,0.060470,1
-0.008679,0.001941,0.060457,1
-0.008763,0.001913,0.060443,1
-0.008879,0.001787,0.060440,1
-0.008869,0.001773,0.060445,1
-0.009037,0.001685,0.060426,1
-0.009103,0.001579,0.060432,1
-0.009170,0.001472,0.060438,1
-0.009294,0.001501,0.060405,1
-0.009717,0.001351,0.060347,1
-0.009710,0.001295,0.060358,1
-0.009871,0.001440,0.060299,1
-0.009695,0.001177,0.060383,1
-0.010219,0.001053,0.060300,1
-0.010223,0.000964,0.060316,1
-0.010227,0.000873,0.060332,1
-0.010512,0.000613,0.060324,1
-0.010771,0.000699,0.060257,1
-0.010847,0.000555,0.060268,1
-0.011002,0.000554,0.060236,1
-0.011156,0.000552,0.060204,1
-0.011411,0.000303,0.060194,1
-0.011455,0.000159,0.060211,1
-0.011583,0.000097,0.060193,1
-0.011809,-0.000036,0.060168,1
-0.011969,-0.000050,0.060136,1
-0.012224,-0.000288,0.060122,1
-0.012248,-0.000430,0.060141,1
-0.012272,-0.000573,0.060161,1
-0.012487,-0.000745,0.060139,1
-0.012635,-0.000815,0.060115,1
-0.012800,-0.000942,0.060094,1
-0.012908,-0.001029,0.060079,1
-0.013011,-0.001168,0.060070,1
-0.013104,-0.001292,0.060061,1
-0.013106,-0.001448,0.060079,1
-0.013269,-0.001566,0.060048,1
-0.013331,-0.001705,0.060044,1
-0.013391,-0.001841,0.060040,1
-0.013420,-0.002021,0.060043,1
-0.013214,-0.002252,0.060104,1
-0.013266,-0.002295,0.060092,1
-0.013316,-0.002336,0.060081,1
-0.013281,-0.002572,0.060091,1
-0.013205,-0.002673,0.060109,1
-0.013126,-0.002776,0.060128,1
-0.013089,-0.002901,0.060136,1
-0.013020,-0.003028,0.060146,1
-0.013007,-0.003156,0.060141,1
-0.012820,-0.003459,0.060166,1
-0.012802,-0.003450,0.060171,1
-0.012779,-0.003438,0.060177,1
-0.012753,-0.003425,0.060184,1
-0.012412,-0.003769,0.060237,1
-0.012446,-0.003853,0.060223,1
-0.012407,-0.003946,0.060221,1
-0.012378,-0.004064,0.060214,1
-0.012011,-0.004205,0.060277,1
-0.011976,-0.004175,0.060288,1
-0.011939,-0.004142,0.060300,1
-0.011583,-0.004365,0.060348,1
-0.011570,-0.004457,0.060339,1
-0.011317,-0.004608,0.060373,1
-0.011210,-0.004560,0.060402,1
-0.011096,-0.004508,0.060433,1
-0.010829,-0.004732,0.060447,1
-0.010830,-0.004736,0.060446,1
-0.010425,-0.004781,0.060505,1
-0.010356,-0.004892,0.060497,1
-0.010199,-0.004942,0.060517,1
-0.010012,-0.005047,0.060521,1
-0.009844,-0.005054,0.060545,1
-0.009631,-0.005119,0.060561,1
-0.009610,-0.005078,0.060574,1
-0.009462,-0.005262,0.060544,1
-0.009064,-0.005266,0.060592,1
-0.009038,-0.005221,0.060607,1
-0.009013,-0.005174,0.060622,1
-0.008647,-0.005054,0.060697,1
-0.008384,-0.005415,0.060626,1
-0.008342,-0.005355,0.060648,1
-0.008305,-0.005302,0.060667,1
-0.007992,-0.005181,0.060740,1
-0.007950,-0.005454,0.060658,1
-0.007897,-0.005530,0.060640,1
-0.007716,-0.005473,0.060684,1
-0.007478,-0.005514,0.060702,1
-0.007437,-0.005465,0.060724,1
-0.007136,-0.005472,0.060758,1
-0.007076,-0.005542,0.060742,1
-0.007018,-0.005610,0.060727,1
-0.006961,-0.005677,0.060711,1
-0.006790,-0.005645,0.060749,1
-0.006789,-0.005639,0.060751,1
-0.006563,-0.005715,0.060763,1
-0.006485,-0.005683,0.060788,1
-0.006408,-0.005651,0.060813,1
-0.006155,-0.005709,0.060829,1
-0.006099,-0.005768,0.060815,1
-0.006044,-0.005826,0.060801,1
-0.005985,-0.005905,0.060777,1
-0.005740,-0.005949,0.060799,1
-0.005741,-0.005954,0.060797,1
-0.005742,-0.005959,0.060794,1
-0.005743,-0.005965,0.060791,1
-0.005526,-0.006003,0.060816,1
-0.005436,-0.006087,0.060796,1
-0.005430,-0.006104,0.060789,1
-0.005420,-0.006139,0.060774,1
-0.005097,-0.006067,0.060868,1
-0.005066,-0.006115,0.060851,1
-0.005013,-0.006233,0.060807,1
-0.004974,-0.006247,0.060807,1
-0.004927,-0.006295,0.060792,1
-0.004880,-0.006342,0.060776,1
-0.004833,-0.006389,0.060761,1
-0.004787,-0.006436,0.060745,1
-0.004614,-0.006223,0.060899,1
-0.004462,-0.006420,0.060826,1
-0.004461,-0.006418,0.060827,1
-0.004460,-0.006416,0.060828,1
-0.004459,-0.006413,0.060830,1
-0.004458,-0.006410,0.060832,1
-0.003999,-0.006647,0.060803,1
-0.003999,-0.006647,0.060803,1
-0.003999,-0.006647,0.060803,1
-0.003983,-0.006665,0.060795,1
-0.003946,-0.006709,0.060777,1
-0.003908,-0.006753,0.060758,1
-0.003872,-0.006797,0.060739,1
-0.003835,-0.006840,0.060721,1
-0.003799,-0.006883,0.060703,1
-0.003599,-0.006626,0.060910,1
-0.003331,-0.006725,0.060912,1
-0.003291,-0.006769,0.060895,1
-0.003250,-0.006812,0.060877,1
-0.003210,-0.006856,0.060859,1
-0.003168,-0.006901,0.060841,1
-0.003127,-0.006945,0.060823,1
-0.003086,-0.006990,0.060805,1
-0.003045,-0.007061,0.060769,1
-0.003028,-0.007100,0.060747,1
-0.003010,-0.007139,0.060725,1
-0.002993,-0.007179,0.060702,1
-0.002646,-0.007232,0.060748,1
-0.002646,-0.007232,0.060748,1
-0.002646,-0.007232,0.060748,1
-0.002647,-0.007234,0.060746,1
-0.002648,-0.007237,0.060744,1
-0.002338,-0.007261,0.060804,1
-0.002345,-0.007468,0.060665,1
-0.002299,-0.007457,0.060684,1
-0.002236,-0.007398,0.060738,1
-0.002210,-0.007435,0.060719,1
-0.002202,-0.007486,0.060687,1
-0.002199,-0.007517,0.060667,1
-0.002195,-0.007550,0.060646,1
-0.001707,-0.007537,0.060769,1
-0.001689,-0.007580,0.060745,1
-0.001672,-0.007624,0.060720,1
-0.001655,-0.007667,0.060696,1
-0.001635,-0.007705,0.060676,1
-0.001582,-0.007695,0.060695,1
-0.001509,-0.007717,0.060698,1
-0.001435,-0.007738,0.060701,1
-0.001361,-0.007760,0.060704,1
-0.001285,-0.007782,0.060708,1
-0.001173,-0.008037,0.060569,1
-0.001133,-0.007827,0.060714,1
-0.001056,-0.007849,0.060718,1
-0.000885,-0.008038,0.060642,1
-0.000866,-0.008091,0.060613,1
-0.000847,-0.008145,0.060585,1
-0.000826,-0.008203,0.060555,1
-0.000805,-0.008263,0.060523,1
-0.000544,-0.008379,0.060510,1
-0.000544,-0.008379,0.060510,1
-0.000543,-0.008378,0.060511,1
-0.000420,-0.008550,0.060442,1
-0.000348,-0.008548,0.060461,1
-0.000276,-0.008547,0.060480,1
-0.000202,-0.008545,0.060499,1
-0.000101,-0.008719,0.060431,1
0.000120,-0.008818,0.060434,1
0.000115,-0.008886,0.060396,1
0.000109,-0.008959,0.060356,1
0.000325,-0.009146,0.060308,1
0.000348,-0.009135,0.060319,1
0.000455,-0.009259,0.060292,1
0.000562,-0.009389,0.060263,1
0.000640,-0.009586,0.060194,1
0.000806,-0.009682,0.060196,1
0.000937,-0.009920,0.060117,1
0.001053,-0.010079,0.060087,1
0.001028,-0.010260,0.060001,1
0.001391,-0.010511,0.060018,1
0.001497,-0.010772,0.059952,1
0.001663,-0.010846,0.059982,1
0.001905,-0.011290,0.059922,1
0.001924,-0.011502,0.059865,1
0.002077,-0.011732,0.059857,1
0.002299,-0.011929,0.059879,1
0.002289,-0.012136,0.059828,1
0.002649,-0.012313,0.059901,1
0.002843,-0.012429,0.059933,1
0.002901,-0.012620,0.059907,1
0.003130,-0.012830,0.059919,1
0.003265,-0.012775,0.059965,1
0.003498,-0.013150,0.059930,1
0.003597,-0.013111,0.059959,1
0.003865,-0.013248,0.059978,1
0.003978,-0.013400,0.059965,1
0.004284,-0.013610,0.059956,1
0.004310,-0.013581,0.059966,1
0.004679,-0.013805,0.059950,1
0.004702,-0.013776,0.059959,1
0.004969,-0.013898,0.059949,1
0.005187,-0.014023,0.059923,1
0.005491,-0.014008,0.059939,1
0.005564,-0.014136,0.059909,1
0.005634,-0.014259,0.059881,1
0.005966,-0.014321,0.059870,1
0.006083,-0.014254,0.059887,1
0.006467,-0.014325,0.059873,1
0.006489,-0.014415,0.059852,1
0.006775,-0.014505,0.059827,1
0.006831,-0.014437,0.059842,1
0.007098,-0.014527,0.059819,1
0.007292,-0.014554,0.059811,1
0.007465,-0.014590,0.059801,1
0.007695,-0.014591,0.059793,1
0.007862,-0.014595,0.059787,1
0.008145,-0.014681,0.059756,1
0.008259,-0.014589,0.059771,1
0.008376,-0.014494,0.059787,1
0.008557,-0.014597,0.059759,1
0.008938,-0.014669,0.059716,1
0.009068,-0.014572,0.059726,1
0.009176,-0.014454,0.059740,1
0.009400,-0.014442,0.059718,1
0.009572,-0.014393,0.059708,1
0.009748,-0.014306,0.059704,1
0.009834,-0.014181,0.059714,1
0.009922,-0.014053,0.059724,1
0.010162,-0.013908,0.059711,1
0.010315,-0.013850,0.059695,1
0.010482,-0.013789,0.059676,1
0.010632,-0.013737,0.059656,1
0.010780,-0.013685,0.059636,1
0.010918,-0.013474,0.059641,1
0.011054,-0.013267,0.059642,1
0.011066,-0.013129,0.059658,1
0.011201,-0.013026,0.059643,1
0.011215,-0.013015,0.059641,1
0.011471,-0.012815,0.059609,1
0.011576,-0.012717,0.059595,1
0.011798,-0.012486,0.059572,1
0.011733,-0.012351,0.059608,1
0.011733,-0.012351,0.059608,1
0.012017,-0.012110,0.059566,1
0.012127,-0.011916,0.059560,1
0.012143,-0.011688,0.059587,1
0.012265,-0.011635,0.059557,1
0.012425,-0.011446,0.059538,1
0.012547,-0.011378,0.059509,1
0.012570,-0.011217,0.059526,1
0.012594,-0.011050,0.059544,1
0.012670,-0.010769,0.059562,1
0.012705,-0.010688,0.059562,1
0.012809,-0.010560,0.059544,1
0.012912,-0.010434,0.059527,1
0.013004,-0.010219,0.059529,1
0.012975,-0.010076,0.059564,1
0.013075,-0.009847,0.059564,1
0.013033,-0.009658,0.059610,1
0.013134,-0.009545,0.059587,1
0.013247,-0.009252,0.059589,1
0.013259,-0.009254,0.059584,1
0.013423,-0.009238,0.059519,1
0.013346,-0.008772,0.059622,1
0.013458,-0.008725,0.059582,1
0.013410,-0.008625,0.059616,1
0.013537,-0.008341,0.059602,1
0.013550,-0.008345,0.059595,1
0.013586,-0.008041,0.059620,1
0.013693,-0.007972,0.059581,1
0.013793,-0.007908,0.059545,1
0.013920,-0.007826,0.059499,1
0.013760,-0.007353,0.059617,1
0.013856,-0.007387,0.059571,1
0.013912,-0.007166,0.059565,1
0.013987,-0.007035,0.059542,1
0.014062,-0.006905,0.059518,1
0.014158,-0.006767,0.059486,1
0.014225,-0.006647,0.059463,1
0.014311,-0.006532,0.059431,1
0.014396,-0.006416,0.059400,1
0.014482,-0.006301,0.059368,1
0.014520,-0.005977,0.059360,1
0.014401,-0.006120,0.059410,1
0.014328,-0.005564,0.059447,1
0.014422,-0.005648,0.059406,1
0.014505,-0.005336,0.059371,1
0.014593,-0.005224,0.059334,1
0.014681,-0.005112,0.059296,1
0.014762,-0.004992,0.059260,1
0.014828,-0.004858,0.059228,1
0.014895,-0.004724,0.059196,1
0.014968,-0.004543,0.059160,1
0.014986,-0.004429,0.059145,1
0.014990,-0.004287,0.059134,1
0.014993,-0.004144,0.059123,1
0.015218,-0.003906,0.059022,1
0.015221,-0.003763,0.059009,1
0.015312,-0.003739,0.058972,1
0.015444,-0.003516,0.058899,1
0.015400,-0.003451,0.058909,1
0.015476,-0.003266,0.058861,1
0.015571,-0.003231,0.058821,1
0.015738,-0.003017,0.058733,1
0.015753,-0.002866,0.058708,1
0.015660,-0.002633,0.058715,1
0.015783,-0.002560,0.058659,1
0.015853,-0.002441,0.058616,1
0.015934,-0.002316,0.058569,1
0.016014,-0.002193,0.058522,1
0.016081,-0.001986,0.058466,1
0.016105,-0.001831,0.058433,1
0.016013,-0.001669,0.058442,1
0.016022,-0.001504,0.058412,1
