x,y,z,blade_engaged
-0.000914,0.005827,0.060602,1
-0.000971,0.005819,0.060590,1
-0.001028,0.005811,0.060579,1
-0.001085,0.005803,0.060567,1
-0.001106,0.005825,0.060544,1
-0.001153,0.005787,0.060557,1
-0.001201,0.005763,0.060559,1
-0.001250,0.005738,0.060560,1
-0.001298,0.005713,0.060562,1
-0.001347,0.005688,0.060563,1
-0.001643,0.005751,0.060412,1
-0.001644,0.005758,0.060406,1
-0.001684,0.005900,0.060287,1
-0.001722,0.005870,0.060294,1
-0.001760,0.005840,0.060301,1
-0.001798,0.005809,0.060309,1
-0.001837,0.005778,0.060316,1
-0.001877,0.005747,0.060324,1
-0.001916,0.005715,0.060331,1
-0.001956,0.005683,0.060339,1
-0.001996,0.005651,0.060346,1
-0.002036,0.005619,0.060354,1
-0.002208,0.005654,0.060261,1
-0.002209,0.005643,0.060268,1
-0.002211,0.005633,0.060275,1
-0.002390,0.005585,0.060251,1
-0.002413,0.005604,0.060230,1
-0.002435,0.005622,0.060209,1
-0.002458,0.005641,0.060188,1
-0.002620,0.005503,0.060235,1
-0.002672,0.005510,0.060212,1
-0.002707,0.005515,0.060197,1
-0.002761,0.005520,0.060173,1
-0.002814,0.005526,0.060149,1
-0.002867,0.005531,0.060125,1
-0.002921,0.005537,0.060102,1
-0.002974,0.005542,0.060078,1
-0.003087,0.005490,0.060068,1
-0.003128,0.005453,0.060075,1
-0.003170,0.005416,0.060083,1
-0.003212,0.005378,0.060090,1
-0.003254,0.005340,0.060098,1
-0.003414,0.005351,0.060028,1
-0.003414,0.005343,0.060033,1
-0.003414,0.005334,0.060039,1
-0.003586,0.005274,0.060015,1
-0.003622,0.005291,0.059990,1
-0.003659,0.005308,0.059966,1
-0.003696,0.005326,0.059941,1
-0.003733,0.005343,0.059917,1
-0.003959,0.005303,0.059855,1
-0.004010,0.005264,0.059859,1
-0.004061,0.005224,0.059863,1
-0.004113,0.005184,0.059868,1
-0.004165,0.005144,0.059873,1
-0.004196,0.005098,0.059889,1
-0.004254,0.005103,0.059864,1
-0.004311,0.005106,0.059840,1
-0.004368,0.005109,0.059816,1
-0.004427,0.005112,0.059791,1
-0.004583,0.004970,0.059807,1
-0.004583,0.004965,0.059810,1
-0.004582,0.004960,0.059813,1
-0.004581,0.004955,0.059816,1
-0.004850,0.004797,0.059800,1
-0.004903,0.004811,0.059773,1
-0.004956,0.004825,0.059745,1
-0.005007,0.004838,0.059719,1
-0.005111,0.004782,0.059706,1
-0.005114,0.004786,0.059703,1
-0.005255,0.004760,0.059661,1
-0.005296,0.004708,0.059670,1
-0.005342,0.004658,0.059677,1
-0.005383,0.004605,0.059687,1
-0.005425,0.004551,0.059696,1
-0.005468,0.004497,0.059706,1
-0.005510,0.004443,0.059716,1
